build_bytes, build_time_ms, checked_result, gpu_resident_bytes, i_build_key_uniformity, i_hit_rate, i_key_size, i_log_build_size, i_log_num_batches, i_log_probe_size, i_probe_zipf_coefficient, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size, probe_time_ms, sort_time_ms
  872604464,        40.619,              1,          322489136,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,       187.707,        0.000
  872604464,        42.105,              1,          322489136,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        30.332,       12.519
  872181680,        34.135,              1,          322066352,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             1,            0,    rtx_index,           32,       187.849,        0.000
  872181680,        35.432,              1,          322066352,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             1,            1,    rtx_index,           32,        29.095,       12.528
 1745051312,        81.643,              1,          644824496,                  1.000,      1.000,         32,               24,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,       205.916,        0.000
 1745051312,        83.454,              1,          644824496,                  1.000,      1.000,         32,               24,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        38.303,       12.556
 1743114032,        67.551,              1,          642887216,                  1.000,      1.000,         32,               24,                 0,               27,                    0.000,      5,             1,            0,    rtx_index,           32,       206.109,        0.000
 1743114032,        69.482,              1,          642887216,                  1.000,      1.000,         32,               24,                 0,               27,                    0.000,      5,             1,            1,    rtx_index,           32,        36.044,       12.670
 3502219440,       164.863,              1,         1301769520,                  1.000,      1.000,         32,               25,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,       227.924,        0.000
 3502219440,       166.357,              1,         1301769520,                  1.000,      1.000,         32,               25,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        54.254,       12.620
 3499717936,       135.432,              1,         1299268016,                  1.000,      1.000,         32,               25,                 0,               27,                    0.000,      5,             1,            0,    rtx_index,           32,       227.807,        0.000
 3499717936,       137.226,              1,         1299268016,                  1.000,      1.000,         32,               25,                 0,               27,                    0.000,      5,             1,            1,    rtx_index,           32,        47.815,       12.650
 6976298160,       328.728,              1,         2575402416,                  1.000,      1.000,         32,               26,                 0,               12,                    0.000,      5,             0,            0,    rtx_index,           32,         0.040,        0.000
 6976298160,       325.888,              1,         2575402416,                  1.000,      1.000,         32,               26,                 0,               12,                    0.000,      5,             0,            1,    rtx_index,           32,         0.037,        0.017
 6973152048,       262.165,              1,         2572256304,                  1.000,      1.000,         32,               26,                 0,               12,                    0.000,      5,             1,            0,    rtx_index,           32,         0.037,        0.000
 6973152048,       263.406,              1,         2572256304,                  1.000,      1.000,         32,               26,                 0,               12,                    0.000,      5,             1,            1,    rtx_index,           32,         0.036,        0.017
 6976298160,       328.488,              1,         2575402416,                  1.000,      1.000,         32,               26,                 0,               24,                    0.000,      5,             0,            0,    rtx_index,           32,        35.643,        0.000
 6976298160,       328.579,              1,         2575402416,                  1.000,      1.000,         32,               26,                 0,               24,                    0.000,      5,             0,            1,    rtx_index,           32,        23.969,        1.632
 6973152048,       267.256,              1,         2572256304,                  1.000,      1.000,         32,               26,                 0,               24,                    0.000,      5,             1,            0,    rtx_index,           32,        35.606,        0.000
 6973152048,       266.619,              1,         2572256304,                  1.000,      1.000,         32,               26,                 0,               24,                    0.000,      5,             1,            1,    rtx_index,           32,        18.913,        1.631
 6976298160,       327.636,              1,         2575402416,                  1.000,      1.000,         32,               26,                 0,               25,                    0.000,      5,             0,            0,    rtx_index,           32,        71.166,        0.000
 6976298160,       329.494,              1,         2575402416,                  1.000,      1.000,         32,               26,                 0,               25,                    0.000,      5,             0,            1,    rtx_index,           32,        39.614,        3.189
 6973152048,       264.740,              1,         2572256304,                  1.000,      1.000,         32,               26,                 0,               25,                    0.000,      5,             1,            0,    rtx_index,           32,        71.213,        0.000
 6973152048,       266.706,              1,         2572256304,                  1.000,      1.000,         32,               26,                 0,               25,                    0.000,      5,             1,            1,    rtx_index,           32,        30.975,        3.204
 6976298160,       327.246,              1,         2575402416,                  1.000,      1.000,         32,               26,                 0,               26,                    0.000,      5,             0,            0,    rtx_index,           32,       134.209,        0.000
 6976298160,       323.460,              1,         2575402416,                  1.000,      1.000,         32,               26,                 0,               26,                    0.000,      5,             0,            1,    rtx_index,           32,        59.322,        6.294
 6973152048,       264.299,              1,         2572256304,                  1.000,      1.000,         32,               26,                 0,               26,                    0.000,      5,             1,            0,    rtx_index,           32,       133.870,        0.000
 6973152048,       261.060,              1,         2572256304,                  1.000,      1.000,         32,               26,                 0,               26,                    0.000,      5,             1,            1,    rtx_index,           32,        45.992,        6.307
 6976298160,       321.069,              1,         2575402416,                  1.000,      1.000,         32,               26,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,       245.542,        0.000
 6976298160,       321.554,              1,         2575402416,                  1.000,      1.000,         32,               26,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        78.754,       12.534
 6973152048,       258.088,              1,         2572256304,                  1.000,      1.000,         32,               26,                 0,               27,                    0.000,      5,             1,            0,    rtx_index,           32,       245.133,        0.000
 6973152048,       258.414,              1,         2572256304,                  1.000,      1.000,         32,               26,                 0,               27,                    0.000,      5,             1,            1,    rtx_index,           32,        64.765,       12.578
  168510975,         2.022,              1,           67108864,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            0, sorted_array,           32,       376.480,        0.000
  168510975,         2.216,              1,           67108864,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            1, sorted_array,           32,        10.108,       13.491
  168510975,         2.026,              1,           67108864,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             1,            0, sorted_array,           32,       370.612,        0.000
  168510975,         2.141,              1,           67108864,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             1,            1, sorted_array,           32,         8.721,       12.397
  337012223,         3.931,              1,          134217728,                  1.000,      1.000,         32,               24,                 0,               27,                    0.000,      5,             0,            0, sorted_array,           32,       457.959,        0.000
  337012223,         4.258,              1,          134217728,                  1.000,      1.000,         32,               24,                 0,               27,                    0.000,      5,             0,            1, sorted_array,           32,        11.519,       13.201
  337012223,         3.935,              1,          134217728,                  1.000,      1.000,         32,               24,                 0,               27,                    0.000,      5,             1,            0, sorted_array,           32,       457.941,        0.000
  337012223,         4.371,              1,          134217728,                  1.000,      1.000,         32,               24,                 0,               27,                    0.000,      5,             1,            1, sorted_array,           32,        10.210,       13.875
