build_bytes, build_time_ms, checked_result, gpu_resident_bytes, i_key_range, i_key_size, i_log_build_size, i_log_key_range_factor, i_log_num_batches, i_log_probe_size, i_log_range_query_size, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size, probe_time_ms, sort_time_ms
          0,         0.000,              1,                  0,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2159.679,        0.000
          0,         0.000,              1,                  0,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2155.980,        0.000
          0,         0.000,              1,                  0,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2155.050,        0.000
          0,         0.000,              1,                  0,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2159.479,        0.000
          0,         0.000,              1,                  0,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2166.381,        0.024
          0,         0.000,              1,                  0,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2157.245,        0.024
          0,         0.000,              1,                  0,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2155.588,        0.024
          0,         0.000,              1,                  0,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2158.527,        0.024
 3408409528,       154.211,              1,         1092646832,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         3.919,        0.000
 3437362608,       166.640,              1,         1236912688,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         1.329,        0.000
 3493011248,       169.574,              1,         1292561328,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.505,        0.000
 3502758320,       170.962,              1,         1302308400,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.241,        0.000
 3408409528,       153.235,              1,         1092646832,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         3.893,        0.020
 3437362608,       167.358,              1,         1236912688,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         1.366,        0.022
 3493011248,       170.854,              1,         1292561328,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.521,        0.022
 3502758320,       170.358,              1,         1302308400,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.241,        0.021
 3408409528,       149.118,              1,         1092646832,    33554432,         32,               25,                      0,                 0,               27,                      0,      5,             0,            0,    rtx_index,           32,       220.769,        0.000
 3437362608,       160.119,              1,         1236912688,   134217728,         32,               25,                      2,                 0,               27,                      0,      5,             0,            0,    rtx_index,           32,       158.760,        0.000
 3493011248,       163.725,              1,         1292561328,   536870912,         32,               25,                      4,                 0,               27,                      0,      5,             0,            0,    rtx_index,           32,       137.347,        0.000
 3502758320,       166.522,              1,         1302308400,  2147483648,         32,               25,                      6,                 0,               27,                      0,      5,             0,            0,    rtx_index,           32,       129.578,        0.000
 3408409528,       151.184,              1,         1092646832,    33554432,         32,               25,                      0,                 0,               27,                      0,      5,             0,            1,    rtx_index,           32,        30.023,       32.170
 3437362608,       163.615,              1,         1236912688,   134217728,         32,               25,                      2,                 0,               27,                      0,      5,             0,            1,    rtx_index,           32,        30.507,       32.436
 3493011248,       165.519,              1,         1292561328,   536870912,         32,               25,                      4,                 0,               27,                      0,      5,             0,            1,    rtx_index,           32,        32.587,       32.214
 3502758320,       169.556,              1,         1302308400,  2147483648,         32,               25,                      6,                 0,               27,                      0,      5,             0,            1,    rtx_index,           32,        37.732,       32.261
 3408409528,       147.910,              1,         1092646832,    33554432,         32,               25,                      0,                 0,               27,                      2,      5,             0,            0,    rtx_index,           32,       679.998,        0.000
 3437362608,       160.040,              1,         1236912688,   134217728,         32,               25,                      2,                 0,               27,                      2,      5,             0,            0,    rtx_index,           32,       307.455,        0.000
 3493011248,       165.999,              1,         1292561328,   536870912,         32,               25,                      4,                 0,               27,                      2,      5,             0,            0,    rtx_index,           32,       205.123,        0.000
 3502758320,       166.131,              1,         1302308400,  2147483648,         32,               25,                      6,                 0,               27,                      2,      5,             0,            0,    rtx_index,           32,       169.326,        0.000
 3408409528,       152.418,              1,         1092646832,    33554432,         32,               25,                      0,                 0,               27,                      2,      5,             0,            1,    rtx_index,           32,        60.654,       32.262
 3437362608,       165.824,              1,         1236912688,   134217728,         32,               25,                      2,                 0,               27,                      2,      5,             0,            1,    rtx_index,           32,        43.652,       32.179
 3493011248,       168.947,              1,         1292561328,   536870912,         32,               25,                      4,                 0,               27,                      2,      5,             0,            1,    rtx_index,           32,        43.672,       32.259
 3502758320,       168.682,              1,         1302308400,  2147483648,         32,               25,                      6,                 0,               27,                      2,      5,             0,            1,    rtx_index,           32,        47.602,       32.251
 3408409528,       149.360,              1,         1092646832,    33554432,         32,               25,                      0,                 0,               27,                      4,      5,             0,            0,    rtx_index,           32,      2012.978,        0.000
 3437362608,       160.530,              1,         1236912688,   134217728,         32,               25,                      2,                 0,               27,                      4,      5,             0,            0,    rtx_index,           32,       664.005,        0.000
 3493011248,       165.133,              1,         1292561328,   536870912,         32,               25,                      4,                 0,               27,                      4,      5,             0,            0,    rtx_index,           32,       326.366,        0.000
 3502758320,       166.658,              1,         1302308400,  2147483648,         32,               25,                      6,                 0,               27,                      4,      5,             0,            0,    rtx_index,           32,       217.717,        0.000
 3408409528,       152.031,              1,         1092646832,    33554432,         32,               25,                      0,                 0,               27,                      4,      5,             0,            1,    rtx_index,           32,       153.766,       32.816
 3437362608,       165.955,              1,         1236912688,   134217728,         32,               25,                      2,                 0,               27,                      4,      5,             0,            1,    rtx_index,           32,        65.194,       32.277
 3493011248,       168.781,              1,         1292561328,   536870912,         32,               25,                      4,                 0,               27,                      4,      5,             0,            1,    rtx_index,           32,        55.696,       32.242
 3502758320,       167.300,              1,         1302308400,  2147483648,         32,               25,                      6,                 0,               27,                      4,      5,             0,            1,    rtx_index,           32,        60.707,       32.210
 3408409528,       147.436,              1,         1092646832,    33554432,         32,               25,                      0,                 0,               27,                      6,      5,             0,            0,    rtx_index,           32,      7118.675,        0.000
 3437362608,       162.201,              1,         1236912688,   134217728,         32,               25,                      2,                 0,               27,                      6,      5,             0,            0,    rtx_index,           32,      2164.382,        0.000
 3493011248,       163.849,              1,         1292561328,   536870912,         32,               25,                      4,                 0,               27,                      6,      5,             0,            0,    rtx_index,           32,       813.942,        0.000
 3502758320,       166.602,              1,         1302308400,  2147483648,         32,               25,                      6,                 0,               27,                      6,      5,             0,            0,    rtx_index,           32,       405.033,        0.000
 3408409528,       150.066,              1,         1092646832,    33554432,         32,               25,                      0,                 0,               27,                      6,      5,             0,            1,    rtx_index,           32,       539.542,       32.255
 3437362608,       165.861,              1,         1236912688,   134217728,         32,               25,                      2,                 0,               27,                      6,      5,             0,            1,    rtx_index,           32,       159.820,       32.165
 3493011248,       169.061,              1,         1292561328,   536870912,         32,               25,                      4,                 0,               27,                      6,      5,             0,            1,    rtx_index,           32,        80.994,       32.250
