build_bytes, build_time_ms, checked_result, gpu_resident_bytes, i_build_key_uniformity, i_hit_rate, i_key_size, i_log_build_size, i_log_num_batches, i_log_probe_size, i_probe_zipf_coefficient, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size, probe_time_ms, sort_time_ms
  862891952,        23.478,              1,          316609200,                  1.000,      1.000,         64,               23,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        78.133,        0.000
  862891952,        24.145,              1,          316609200,                  1.000,      1.000,         64,               23,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        16.591,       24.544
  857043760,        23.179,              1,          310761008,                  1.000,      1.000,         64,               23,                 0,               27,                    0.000,      5,             1,            0,    rtx_index,           32,        77.913,        0.000
  857043760,        24.064,              1,          310761008,                  1.000,      1.000,         64,               23,                 0,               27,                    0.000,      5,             1,            1,    rtx_index,           32,        16.304,       24.593
 1731174704,        46.345,              1,          638612912,                  1.000,      1.000,         64,               24,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        87.150,        0.000
 1731174704,        47.548,              1,          638612912,                  1.000,      1.000,         64,               24,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        18.005,       24.557
 1713495216,        45.804,              1,          620933424,                  1.000,      1.000,         64,               24,                 0,               27,                    0.000,      5,             1,            0,    rtx_index,           32,        87.046,        0.000
 1713495216,        47.034,              1,          620933424,                  1.000,      1.000,         64,               24,                 0,               27,                    0.000,      5,             1,            1,    rtx_index,           32,        17.260,       24.676
 3476923440,        93.324,              1,         1291803696,                  1.000,      1.000,         64,               25,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        96.596,        0.000
 3476923440,        94.021,              1,         1291803696,                  1.000,      1.000,         64,               25,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        21.954,       24.570
 3455183152,        92.292,              1,         1270063408,                  1.000,      1.000,         64,               25,                 0,               27,                    0.000,      5,             1,            0,    rtx_index,           32,        96.610,        0.000
 3455183152,        93.165,              1,         1270063408,                  1.000,      1.000,         64,               25,                 0,               27,                    0.000,      5,             1,            1,    rtx_index,           32,        19.861,       24.604
 6819928880,       189.933,              1,         2449693360,                  1.000,      1.000,         64,               26,                 0,               12,                    0.000,      5,             0,            0,    rtx_index,           32,         0.032,        0.000
 6819928880,       191.034,              1,         2449693360,                  1.000,      1.000,         64,               26,                 0,               12,                    0.000,      5,             0,            1,    rtx_index,           32,         0.033,        0.072
 6795987760,       189.604,              1,         2425752240,                  1.000,      1.000,         64,               26,                 0,               12,                    0.000,      5,             1,            0,    rtx_index,           32,         0.033,        0.000
 6795987760,       190.202,              1,         2425752240,                  1.000,      1.000,         64,               26,                 0,               12,                    0.000,      5,             1,            1,    rtx_index,           32,         0.032,        0.073
 6819928880,       189.721,              1,         2449693360,                  1.000,      1.000,         64,               26,                 0,               24,                    0.000,      5,             0,            0,    rtx_index,           32,        13.119,        0.000
 6819928880,       189.056,              1,         2449693360,                  1.000,      1.000,         64,               26,                 0,               24,                    0.000,      5,             0,            1,    rtx_index,           32,         8.093,        3.100
 6795987760,       187.952,              1,         2425752240,                  1.000,      1.000,         64,               26,                 0,               24,                    0.000,      5,             1,            0,    rtx_index,           32,        13.106,        0.000
 6795987760,       187.799,              1,         2425752240,                  1.000,      1.000,         64,               26,                 0,               24,                    0.000,      5,             1,            1,    rtx_index,           32,         6.040,        3.105
 6819928880,       186.136,              1,         2449693360,                  1.000,      1.000,         64,               26,                 0,               25,                    0.000,      5,             0,            0,    rtx_index,           32,        26.326,        0.000
 6819928880,       189.350,              1,         2449693360,                  1.000,      1.000,         64,               26,                 0,               25,                    0.000,      5,             0,            1,    rtx_index,           32,        14.415,        6.227
 6795987760,       187.619,              1,         2425752240,                  1.000,      1.000,         64,               26,                 0,               25,                    0.000,      5,             1,            0,    rtx_index,           32,        26.198,        0.000
 6795987760,       187.887,              1,         2425752240,                  1.000,      1.000,         64,               26,                 0,               25,                    0.000,      5,             1,            1,    rtx_index,           32,        10.505,        6.152
 6819928880,       185.646,              1,         2449693360,                  1.000,      1.000,         64,               26,                 0,               26,                    0.000,      5,             0,            0,    rtx_index,           32,        52.306,        0.000
 6819928880,       187.378,              1,         2449693360,                  1.000,      1.000,         64,               26,                 0,               26,                    0.000,      5,             0,            1,    rtx_index,           32,        23.378,       12.270
 6795987760,       185.920,              1,         2425752240,                  1.000,      1.000,         64,               26,                 0,               26,                    0.000,      5,             1,            0,    rtx_index,           32,        52.376,        0.000
 6795987760,       184.664,              1,         2425752240,                  1.000,      1.000,         64,               26,                 0,               26,                    0.000,      5,             1,            1,    rtx_index,           32,        16.911,       12.237
 6819928880,       185.901,              1,         2449693360,                  1.000,      1.000,         64,               26,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,       104.863,        0.000
 6819928880,       186.989,              1,         2449693360,                  1.000,      1.000,         64,               26,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        33.051,       24.537
 6795987760,       185.522,              1,         2425752240,                  1.000,      1.000,         64,               26,                 0,               27,                    0.000,      5,             1,            0,    rtx_index,           32,       104.809,        0.000
 6795987760,       186.198,              1,         2425752240,                  1.000,      1.000,         64,               26,                 0,               27,                    0.000,      5,             1,            1,    rtx_index,           32,        25.557,       24.597
  237135359,         2.341,              1,          100663296,                  1.000,      1.000,         64,               23,                 0,               27,                    0.000,      5,             0,            0, sorted_array,           32,       192.698,        0.000
  237135359,         2.501,              1,          100663296,                  1.000,      1.000,         64,               23,                 0,               27,                    0.000,      5,             0,            1, sorted_array,           32,         8.869,       24.566
  237135359,         2.369,              1,          100663296,                  1.000,      1.000,         64,               23,                 0,               27,                    0.000,      5,             1,            0, sorted_array,           32,       192.709,        0.000
  237135359,         2.473,              1,          100663296,                  1.000,      1.000,         64,               23,                 0,               27,                    0.000,      5,             1,            1, sorted_array,           32,         8.551,       24.715
  474253823,         4.672,              1,          201326592,                  1.000,      1.000,         64,               24,                 0,               27,                    0.000,      5,             0,            0, sorted_array,           32,       227.698,        0.000
  474253823,         4.851,              1,          201326592,                  1.000,      1.000,         64,               24,                 0,               27,                    0.000,      5,             0,            1, sorted_array,           32,         9.600,       24.758
  474253823,         4.555,              1,          201326592,                  1.000,      1.000,         64,               24,                 0,               27,                    0.000,      5,             1,            0, sorted_array,           32,       227.842,        0.000
  474253823,         4.825,              1,          201326592,                  1.000,      1.000,         64,               24,                 0,               27,                    0.000,      5,             1,            1, sorted_array,           32,         9.074,       24.688
  948489727,         9.057,              1,          402653184,                  1.000,      1.000,         64,               25,                 0,               27,                    0.000,      5,             0,            0, sorted_array,           32,       254.572,        0.000
  948489727,         9.587,              1,          402653184,                  1.000,      1.000,         64,               25,                 0,               27,                    0.000,      5,             0,            1, sorted_array,           32,        11.188,       24.613
  948489727,         9.053,              1,          402653184,                  1.000,      1.000,         64,               25,                 0,               27,                    0.000,      5,             1,            0, sorted_array,           32,       254.320,        0.000
  948489727,         9.591,              1,          402653184,                  1.000,      1.000,         64,               25,                 0,               27,                    0.000,      5,             1,            1, sorted_array,           32,         9.650,       24.647
 1896961535,        19.053,              1,          805306368,                  1.000,      1.000,         64,               26,                 0,               12,                    0.000,      5,             0,            0, sorted_array,           32,         0.030,        0.000
 1896961535,        19.090,              1,          805306368,                  1.000,      1.000,         64,               26,                 0,               12,                    0.000,      5,             0,            1, sorted_array,           32,         0.025,        0.073
