build_bytes, build_time_ms, checked_result, gpu_resident_bytes, i_key_range, i_key_size, i_log_build_size, i_log_key_range_factor, i_log_num_batches, i_log_probe_size, i_log_range_query_size, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size, probe_time_ms, sort_time_ms
          0,         0.000,              1,                  0,    33554432,         64,               25,                      0,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2784.219,        0.000
          0,         0.000,              1,                  0,   134217728,         64,               25,                      2,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2784.869,        0.000
          0,         0.000,              1,                  0,   536870912,         64,               25,                      4,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2784.431,        0.000
          0,         0.000,              1,                  0,  2147483648,         64,               25,                      6,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2784.531,        0.000
          0,         0.000,              1,                  0,  8589934592,         64,               25,                      8,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2784.181,        0.000
          0,         0.000,              1,                  0, 34359738368,         64,               25,                     10,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2784.810,        0.000
          0,         0.000,              1,                  0,    33554432,         64,               25,                      0,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2784.113,        0.089
          0,         0.000,              1,                  0,   134217728,         64,               25,                      2,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2785.205,        0.086
          0,         0.000,              1,                  0,   536870912,         64,               25,                      4,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2784.859,        0.151
          0,         0.000,              1,                  0,  2147483648,         64,               25,                      6,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2785.140,        0.086
          0,         0.000,              1,                  0,  8589934592,         64,               25,                      8,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2785.031,        0.087
          0,         0.000,              1,                  0, 34359738368,         64,               25,                     10,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2784.989,        0.088
 3393079352,        84.315,              1,         1080175664,    33554432,         64,               25,                      0,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         2.559,        0.000
 3393079352,        90.199,              1,         1190884144,   134217728,         64,               25,                      2,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.866,        0.000
 3427422128,        91.159,              1,         1242302384,   536870912,         64,               25,                      4,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.335,        0.000
 3438185520,        92.071,              1,         1253065776,  2147483648,         64,               25,                      6,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.174,        0.000
 3439308336,        91.939,              1,         1254188592,  8589934592,         64,               25,                      8,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.099,        0.000
 3438724400,        92.020,              1,         1253604656, 34359738368,         64,               25,                     10,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.061,        0.000
 3393079352,        84.214,              1,         1080175664,    33554432,         64,               25,                      0,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         2.571,        0.080
 3393079352,        90.170,              1,         1190884144,   134217728,         64,               25,                      2,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.884,        0.080
 3427422128,        91.548,              1,         1242302384,   536870912,         64,               25,                      4,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.347,        0.081
 3438185520,        91.615,              1,         1253065776,  2147483648,         64,               25,                      6,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.172,        0.081
 3439308336,        91.628,              1,         1254188592,  8589934592,         64,               25,                      8,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.102,        0.083
 3438724400,        91.748,              1,         1253604656, 34359738368,         64,               25,                     10,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.060,        0.082
  948489727,         8.980,              1,          402653184,    33554432,         64,               25,                      0,                 0,               12,                     10,      5,             0,            0, sorted_array,           32,         2.034,        0.000
  948489727,         9.067,              1,          402653184,   134217728,         64,               25,                      2,                 0,               12,                     10,      5,             0,            0, sorted_array,           32,         0.582,        0.000
  948489727,         9.167,              1,          402653184,   536870912,         64,               25,                      4,                 0,               12,                     10,      5,             0,            0, sorted_array,           32,         0.171,        0.000
  948489727,         9.073,              1,          402653184,  2147483648,         64,               25,                      6,                 0,               12,                     10,      5,             0,            0, sorted_array,           32,         0.067,        0.000
  948489727,         9.229,              1,          402653184,  8589934592,         64,               25,                      8,                 0,               12,                     10,      5,             0,            0, sorted_array,           32,         0.039,        0.000
  948489727,         9.124,              1,          402653184, 34359738368,         64,               25,                     10,                 0,               12,                     10,      5,             0,            0, sorted_array,           32,         0.031,        0.000
  948489727,         8.995,              1,          402653184,    33554432,         64,               25,                      0,                 0,               12,                     10,      5,             0,            1, sorted_array,           32,         1.808,        0.076
  948489727,         9.079,              1,          402653184,   134217728,         64,               25,                      2,                 0,               12,                     10,      5,             0,            1, sorted_array,           32,         0.513,        0.084
  948489727,         9.059,              1,          402653184,   536870912,         64,               25,                      4,                 0,               12,                     10,      5,             0,            1, sorted_array,           32,         0.152,        0.080
  948489727,         9.084,              1,          402653184,  2147483648,         64,               25,                      6,                 0,               12,                     10,      5,             0,            1, sorted_array,           32,         0.058,        0.081
  948489727,         9.238,              1,          402653184,  8589934592,         64,               25,                      8,                 0,               12,                     10,      5,             0,            1, sorted_array,           32,         0.035,        0.082
  948489727,         9.074,              1,          402653184, 34359738368,         64,               25,                     10,                 0,               12,                     10,      5,             0,            1, sorted_array,           32,         0.026,        0.083
