build_bytes, build_time_ms, checked_result, gpu_resident_bytes, i_build_key_uniformity, i_hit_rate, i_key_size, i_log_build_size, i_log_num_batches, i_log_probe_size, i_probe_zipf_coefficient, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size, probe_time_ms, sort_time_ms
  861483952,        25.244,              1,          315201200,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        85.766,        0.000
  861483952,        25.259,              1,          315201200,                  1.000,      0.500,         32,               23,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        60.859,        0.000
  861483952,        25.267,              1,          315201200,                  1.000,      0.100,         32,               23,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        39.972,        0.000
  861483952,        25.338,              1,          315201200,                  1.000,      0.010,         32,               23,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        35.012,        0.000
  861483952,        25.268,              1,          315201200,                  1.000,      0.000,         32,               23,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        34.396,        0.000
  861483952,        25.311,              1,          315201200,                  1.000,      1.000,         32,               23,                 4,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        86.020,        0.000
  861483952,        25.302,              1,          315201200,                  1.000,      1.000,         32,               23,                 8,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        89.521,        0.000
  861483952,        25.309,              1,          315201200,                  1.000,      1.000,         32,               23,                12,               27,                    0.000,      5,             0,            0,    rtx_index,           32,       145.393,        0.000
  848272696,        22.168,              1,          301544624,                  0.500,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        91.727,        0.000
  848272696,        19.600,              1,          293810224,                  0.100,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        93.918,        0.000
  848272696,        17.939,              1,          271236016,                  0.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            0,    rtx_index,           32,        82.887,        0.000
  861483952,        25.388,              1,          315201200,                  1.000,      1.000,         32,               23,                 0,               27,                    0.500,      5,             0,            0,    rtx_index,           32,        13.886,        0.000
  861483952,        25.358,              1,          315201200,                  1.000,      1.000,         32,               23,                 0,               27,                    1.000,      5,             0,            0,    rtx_index,           32,        14.164,        0.000
  861483952,        25.289,              1,          315201200,                  1.000,      1.000,         32,               23,                 0,               27,                    2.000,      5,             0,            0,    rtx_index,           32,        14.605,        0.000
  861483952,        26.157,              1,          315201200,                  1.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        19.213,        7.986
  861483952,        26.207,              1,          315201200,                  1.000,      0.500,         32,               23,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        19.299,        7.975
  861483952,        26.177,              1,          315201200,                  1.000,      0.100,         32,               23,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        18.087,        7.968
  861483952,        26.186,              1,          315201200,                  1.000,      0.010,         32,               23,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        16.794,        7.968
  861483952,        26.157,              1,          315201200,                  1.000,      0.000,         32,               23,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        16.140,        7.962
  861483952,        25.268,              1,          315201200,                  1.000,      1.000,         32,               23,                 4,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        44.062,        8.239
  861483952,        25.280,              1,          315201200,                  1.000,      1.000,         32,               23,                 8,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        73.667,       18.844
  861483952,        25.292,              1,          315201200,                  1.000,      1.000,         32,               23,                12,               27,                    0.000,      5,             0,            1,    rtx_index,           32,       145.012,      226.469
  848272696,        23.021,              1,          301544624,                  0.500,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        17.590,        7.968
  848272696,        20.302,              1,          293810224,                  0.100,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        16.584,        7.984
  848272696,        18.811,              1,          271236016,                  0.000,      1.000,         32,               23,                 0,               27,                    0.000,      5,             0,            1,    rtx_index,           32,        16.089,        7.948
