build_bytes, build_time_ms, checked_result, gpu_resident_bytes, i_key_range, i_key_size, i_log_build_size, i_log_key_range_factor, i_log_num_batches, i_log_probe_size, i_log_range_query_size, i_runs, i_sort_insert, i_sort_probe,       i_type, i_value_size, probe_time_ms, sort_time_ms
          0,         0.000,              1,                  0,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2312.103,        0.000
          0,         0.000,              1,                  0,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2312.675,        0.000
          0,         0.000,              1,                  0,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2314.000,        0.000
          0,         0.000,              1,                  0,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            0,         scan,           32,      2314.324,        0.000
          0,         0.000,              1,                  0,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2315.828,        0.023
          0,         0.000,              1,                  0,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2322.709,        0.022
          0,         0.000,              1,                  0,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2321.779,        0.022
          0,         0.000,              1,                  0,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            1,         scan,           32,      2321.617,        0.022
 3393079352,        95.177,              1,         1080599600,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         3.746,        0.000
 3393079352,       100.785,              1,         1192089904,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.948,        0.000
 3427567792,       102.678,              1,         1242448048,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.370,        0.000
 3438095152,       102.749,              1,         1252975408,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            0,    rtx_index,           32,         0.183,        0.000
 3393079352,        95.103,              1,         1080599600,    33554432,         32,               25,                      0,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         3.640,        0.023
 3393079352,       100.820,              1,         1192089904,   134217728,         32,               25,                      2,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.963,        0.023
 3427567792,       102.524,              1,         1242448048,   536870912,         32,               25,                      4,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.382,        0.024
 3438095152,       103.319,              1,         1252975408,  2147483648,         32,               25,                      6,                 0,               12,                     10,      5,             0,            1,    rtx_index,           32,         0.191,        0.024
 3393079352,        92.303,              1,         1080599600,    33554432,         32,               25,                      0,                 0,               27,                      0,      5,             0,            0,    rtx_index,           32,       104.526,        0.000
 3393079352,        98.178,              1,         1192089904,   134217728,         32,               25,                      2,                 0,               27,                      0,      5,             0,            0,    rtx_index,           32,        72.506,        0.000
 3427567792,        99.777,              1,         1242448048,   536870912,         32,               25,                      4,                 0,               27,                      0,      5,             0,            0,    rtx_index,           32,        61.344,        0.000
 3438095152,        99.913,              1,         1252975408,  2147483648,         32,               25,                      6,                 0,               27,                      0,      5,             0,            0,    rtx_index,           32,        57.024,        0.000
 3393079352,        93.401,              1,         1080599600,    33554432,         32,               25,                      0,                 0,               27,                      0,      5,             0,            1,    rtx_index,           32,        27.701,       14.750
 3393079352,        98.858,              1,         1192089904,   134217728,         32,               25,                      2,                 0,               27,                      0,      5,             0,            1,    rtx_index,           32,        21.363,       14.748
 3427567792,       100.510,              1,         1242448048,   536870912,         32,               25,                      4,                 0,               27,                      0,      5,             0,            1,    rtx_index,           32,        21.802,       14.743
 3438095152,       100.615,              1,         1252975408,  2147483648,         32,               25,                      6,                 0,               27,                      0,      5,             0,            1,    rtx_index,           32,        23.221,       14.768
 3393079352,        91.948,              1,         1080599600,    33554432,         32,               25,                      0,                 0,               27,                      2,      5,             0,            0,    rtx_index,           32,       345.247,        0.000
 3393079352,        97.867,              1,         1192089904,   134217728,         32,               25,                      2,                 0,               27,                      2,      5,             0,            0,    rtx_index,           32,       146.261,        0.000
 3427567792,        99.538,              1,         1242448048,   536870912,         32,               25,                      4,                 0,               27,                      2,      5,             0,            0,    rtx_index,           32,        97.945,        0.000
 3438095152,        99.986,              1,         1252975408,  2147483648,         32,               25,                      6,                 0,               27,                      2,      5,             0,            0,    rtx_index,           32,        79.964,        0.000
 3393079352,        93.377,              1,         1080599600,    33554432,         32,               25,                      0,                 0,               27,                      2,      5,             0,            1,    rtx_index,           32,        65.934,       14.765
 3393079352,        98.569,              1,         1192089904,   134217728,         32,               25,                      2,                 0,               27,                      2,      5,             0,            1,    rtx_index,           32,        35.495,       14.743
 3427567792,       100.489,              1,         1242448048,   536870912,         32,               25,                      4,                 0,               27,                      2,      5,             0,            1,    rtx_index,           32,        29.311,       14.746
 3438095152,       100.642,              1,         1252975408,  2147483648,         32,               25,                      6,                 0,               27,                      2,      5,             0,            1,    rtx_index,           32,        29.379,       14.780
 3393079352,        92.157,              1,         1080599600,    33554432,         32,               25,                      0,                 0,               27,                      4,      5,             0,            0,    rtx_index,           32,      1035.046,        0.000
 3393079352,        97.912,              1,         1192089904,   134217728,         32,               25,                      2,                 0,               27,                      4,      5,             0,            0,    rtx_index,           32,       316.451,        0.000
 3427567792,        99.272,              1,         1242448048,   536870912,         32,               25,                      4,                 0,               27,                      4,      5,             0,            0,    rtx_index,           32,       156.057,        0.000
 3438095152,       100.014,              1,         1252975408,  2147483648,         32,               25,                      6,                 0,               27,                      4,      5,             0,            0,    rtx_index,           32,       103.999,        0.000
 3393079352,        93.586,              1,         1080599600,    33554432,         32,               25,                      0,                 0,               27,                      4,      5,             0,            1,    rtx_index,           32,       217.840,       14.745
 3393079352,        98.864,              1,         1192089904,   134217728,         32,               25,                      2,                 0,               27,                      4,      5,             0,            1,    rtx_index,           32,        71.937,       14.742
